,star_ra_deg,star_dec_deg,star_distance_pc,star_radius_solar,star_teff_k,planet_orbit_semi_major_axis_au,planet_orbit_eccentricity,planet_orbit_inclination_deg,planet_radius_earth,planet_equilibrium_temp_k,planet_orbital_period_days,star_luminosity_solar,ra_rad,dec_rad,star_cartesian_x,star_cartesian_y,star_cartesian_z,star_habitable_zone_inner_au,star_habitable_zone_outer_au
24,39.2412736,24.6480103,44.657,1.41,6331.0,0.99,0.29,,12.3,,335.10001,0.381,0.6848894269959283,0.4301889338004753,31.43508768863432,25.675561202339807,18.623868232802064,0.5885266658050732,0.8478607931307485
25,130.0528099,64.3280504,73.4603,18.11,4415.0,0.877,0.453,,12.6,,270.27,2.062,2.2698497342252772,1.1227362808688552,-20.47873759730914,24.359975555476705,66.20897653224323,1.3691404071699347,1.972451783374146
26,276.4975053,65.5633652,90.6545,22.03,4200.0,1.19,0.38,,13.0,,479.1,2.155,4.825791841035472,1.1442965914274708,4.2437873556140255,-37.26166798798509,82.5336097470812,1.3996752870187101,2.0164418503515185
27,164.8647611,40.4304931,13.7967,1.21,5872.0,2.1,0.032,,13.2,,1078.0,0.198,2.8774329017088687,0.705645222799849,-10.137665731731706,2.742042201244645,8.94750629886708,0.4242640687119285,0.6112159239257248
28,164.8647611,40.4304931,13.7967,1.21,5872.0,3.6,0.098,,14.2,,2391.0,0.198,2.8774329017088687,0.705645222799849,-10.137665731731706,2.742042201244645,8.94750629886708,0.4242640687119285,0.6112159239257248
29,164.8647611,40.4304931,13.7967,1.21,5872.0,11.6,0.16,,13.5,,14002.0,0.198,2.8774329017088687,0.705645222799849,-10.137665731731706,2.742042201244645,8.94750629886708,0.4242640687119285,0.6112159239257248
30,69.4007424,-2.4738245,29.7575,1.49,7295.0,13.2,0.45,133.0,13.4,700.0,11688.0,0.85,1.2112714582084314,-0.04317638264150246,10.45980976044312,27.828967749874597,-1.2844220497090255,0.8790490729915325,1.266401826003761
31,344.3675399,20.7690958,15.4614,1.18,5758.0,0.0527,0.013,80.0,14.3,,4.230785,0.136,6.010347408247944,0.36248910437212567,13.921921575144374,-3.8955738125097237,5.482653945564871,0.35161962919661305,0.5065607304015044
32,133.1468373,28.3298154,12.5855,0.94,5172.0,0.1134,0.0,89.73,13.9,700.0,14.6516,-0.197,2.323850699502197,0.4944485552121944,-7.5760132487019325,8.082650470765472,5.972402772161929,,
33,133.1468373,28.3298154,12.5855,0.94,5172.0,0.2373,0.03,89.73,8.51,,44.3989,-0.197,2.323850699502197,0.4944485552121944,-7.5760132487019325,8.082650470765472,5.972402772161929,,
34,133.1468373,28.3298154,12.5855,0.94,5172.0,5.957,0.13,89.73,13.0,,5574.2,-0.197,2.323850699502197,0.4944485552121944,-7.5760132487019325,8.082650470765472,5.972402772161929,,
35,133.1468373,28.3298154,12.5855,0.94,5172.0,0.01544,0.05,83.59,1.875,1958.0,0.7365474,-0.197,2.323850699502197,0.4944485552121944,-7.5760132487019325,8.082650470765472,5.972402772161929,,
36,133.1468373,28.3298154,12.5855,0.94,5172.0,0.7708,0.08,89.73,7.59,,259.88,-0.197,2.323850699502197,0.4944485552121944,-7.5760132487019325,8.082650470765472,5.972402772161929,,
37,97.6960311,58.1611753,54.6599,4.94,4941.0,2.028,0.042,,13.4,,919.86,1.119,1.7051174088257774,1.0151040058146006,-3.86148858152001,28.575093000655855,46.435521252040004,1.0085993888917082,1.453038456035139
38,199.596455,-18.3157745,8.50332,0.96,5577.0,0.050201,0.12,,2.11,,4.215,-0.095,3.4836153150586986,-0.31967057007781813,-7.604957648066071,-2.707473424507093,-2.6722009372629936,,
39,199.596455,-18.3157745,8.50332,0.96,5577.0,0.2175,0.14,,4.46,,38.021,-0.095,3.4836153150586986,-0.31967057007781813,-7.604957648066071,-2.707473424507093,-2.6722009372629936,,
40,199.596455,-18.3157745,8.50332,0.96,5577.0,0.476,0.35,,5.11,,123.01,-0.095,3.4836153150586986,-0.31967057007781813,-7.604957648066071,-2.707473424507093,-2.6722009372629936,,
41,99.171276,-19.2561808,19.8101,4.87,4826.0,1.758,0.06,90.0,13.4,,735.1,1.063,1.7308652896040322,-0.3360837563193157,-2.980809406980462,18.462715011846296,-6.533222151481009,0.9830379628293284,1.4162133940047632
42,99.171276,-19.2561808,19.8101,4.87,4826.0,2.153,0.08,90.0,13.9,,996.0,1.063,1.7308652896040322,-0.3360837563193157,-2.980809406980462,18.462715011846296,-6.533222151481009,0.9830379628293284,1.4162133940047632
43,202.1064898,13.7763085,17.9011,1.89,5495.0,0.481,0.3988,,12.6,,116.688,0.451,3.5274236866583357,0.24044194209548125,-16.108011781575826,-6.542910775326759,4.26282256735223,0.6403124237432849,0.9224659322849896
44,38.0391598,-1.0350269,82.9613,10.38,4809.0,1.912,0.093,,13.3,,696.62,1.714,0.6639085832022678,-0.0180646272517101,65.32881158158217,51.112404782648625,-1.4985834520685377,1.2482715322323978,1.7983220690829949
45,38.0391598,-1.0350269,82.9613,10.38,4809.0,3.929,0.023,,13.9,,2051.62,1.714,0.6639085832022678,-0.0180646272517101,65.32881158158217,51.112404782648625,-1.4985834520685377,1.2482715322323978,1.7983220690829949
