,pl_name,hostname,ra,dec,sy_dist,st_rad,st_teff,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_rade,pl_eqt,pl_orbper,st_lum,sy_snum,disc_year,ra_rad,dec_rad,X,Y,Z,habitable_zone_inner,habitable_zone_outer,habitable_zone_center_au,habitable_zone_width_au,hz_score,size_score,temp_score,eccentricity_score,habitability_score,snr,habitable
10,24 Sex c,24 Sex,155.8684866,-0.9023998,72.0691,4.9,5098.0,2.08,0.29,,13.9,,883.0,1.164,1,2010,2.720418291270662,-0.015749847679338326,-65.76278455147587,29.460533749249297,-1.1350304205226514,1.0286796479865916,1.4819670762518105,1.255323362119201,0.22664371413260942,0.0,7.320278991059906e-37,,0.71,,2064.4144648533197,True
11,2M0437 b,2MASS J04372171+2651014,69.3405531,26.8502997,128.484,0.84,3100.0,118.0,,,13.0,1450.0,,-1.164,1,2021,1.2102209567489608,0.46862613491224575,40.44365463267619,107.26056143007776,58.03120727382231,,,,,,5.380186160021138e-32,6.649268058939659e-288,,,0.005187799281605386,False
12,2MASS J01033563-5515561 AB b,2MASS J01033563-5515561 A,15.8992489,-55.2658291,47.2,,,84.0,,,12.3,,,,2,2013,0.27749424189908667,-0.9645706816394944,25.864332512263235,7.367282355581702,-38.78916671428013,,,,,,1.8727025544562063e-28,,,,,False
13,2MASS J01225093-2439505 b,2MASS J01225093-2439505,20.7128012,-24.6646128,33.8281,0.37,3530.0,52.0,,,11.209,1600.0,,-1.72,1,2013,0.36150657825103255,-0.43047870208953765,28.754832947956864,10.87288836481269,-14.116664986866242,,,,,,2.3340772683459124e-23,0.0,,,0.055587262600501966,False
14,2MASS J02192210-3925225 b,2MASS J02192210-3925225,34.8427046,-39.4230767,40.0896412,0.28,3064.0,156.0,,,16.141,,,-2.23,1,2015,0.6081199155697739,-0.6880624896812608,25.416464476331527,17.69301216574584,-25.458593550526018,,,,,,1.6558494660745175e-50,,,,0.005222319066822827,False
15,2MASS J0249-0557 c,2MASS J0249-0557 A,42.4851627,-5.9599921,66.0613,0.32,2859.0,1950.0,,,12.4,,,-2.59,2,2018,0.7415059723604839,-0.10402148553785114,48.45372203907569,44.37657819190281,-6.859408591702856,,,,,,6.019280276816486e-29,,,,9.488113531406688e-06,False
16,2MASS J03590986+2009361 b,2MASS J03590986+2009361,59.7911026,20.1599759,117.435,0.29,2943.0,572.0,,,12.2,2369.0,,-2.246,1,2024,1.0435516037677421,0.3518579565777071,55.4678283289817,95.269238483515,40.47309531327895,,,,,,5.768329961247925e-28,0.0,,,2.774140772180699e-05,False
17,2MASS J04414489+2301513 b,2MASS J04414489+2301513,70.4371079,23.0308544,120.423987,0.23,2936.0,15.0,,,12.6,,,-2.444,1,2010,1.2293594484375088,0.4019642388274231,37.10896561926866,104.42805304830671,47.11308790754586,,,,,,6.0348608059710055e-30,,,,0.025738796764727793,False
18,2MASS J11011926-7732383 b,2MASS J11011926-7732383,165.3295388,-77.5440912,,,,266.0,,,11.9,2677.0,,,1,2024,2.885544802863715,-1.3533997069067607,,,,,,,,,1.5875824982645435e-26,0.0,,,,False
19,2MASS J11550485-7919108 b,2MASS J11550485-7919108,178.7691634,-79.3197558,100.862,0.6,3021.0,587.0,,,12.1,2506.0,,-1.568,1,2024,3.1201105023657405,-1.3843909005878687,-18.688219161797107,0.4015249176595635,-99.1147430320088,,,,,,1.7590915496847662e-27,0.0,,,0.00015036331358366894,False
